date,temperature,humidity
2024-08-01,29.5,65.0
2024-08-02,30.1,68.0
2024-08-03,32.0,70.5
2024-08-04,28.0,60.0
2024-08-05,31.5,72.0
2024-08-06,27.8,55.0
2024-08-07,33.0,75.0
2024-08-08,26.5,50.0
2024-08-09,29.0,62.0
2024-08-10,30.8,66.5
2024-08-11,32.5,71.0
2024-08-12,25.0,45.0
2024-08-13,29.9,64.0
2024-08-14,30.4,68.0
2024-08-15,31.2,69.5
2024-08-16,28.4,57.0
2024-08-17,30.0,65.0
2024-08-18,32.8,73.0
2024-08-19,27.0,54.0
2024-08-20,29.6,61.5
2024-08-21,31.7,70.0
2024-08-22,28.9,63.0
2024-08-23,33.2,74.0
2024-08-24,25.5,49.0
2024-08-25,30.3,67.0
2024-08-26,29.2,64.5
2024-08-27,32.1,72.0
2024-08-28,28.7,59.0
2024-08-29,30.6,66.0
2024-08-30,31.8,71.0
2024-08-31,27.4,55.5
2024-09-01,30.9,68.0
2024-09-02,29.8,63.0
2024-09-03,32.4,70.5
2024-09-04,28.2,58.0
2024-09-05,31.3,69.0
2024-09-06,27.7,54.0
2024-09-07,33.1,74.5
2024-09-08,26.8,51.0
2024-09-09,29.3,61.0
2024-09-10,31.6,69.5
2024-09-11,28.5,58.5
2024-09-12,30.7,67.0
2024-09-13,32.9,73.5
2024-09-14,27.2,56.0
2024-09-15,30.2,65.5
2024-09-16,29.1,62.0
2024-09-17,31.9,71.5
2024-09-18,28.3,59.5
2024-09-19,30.5,66.0
